"313","00334","ＴＣＬ顯示科技","ＴＣＬ显示科技"
"314","00335","美建集團","美建集团"
"315","00336","華寶國際","华宝国际"
"316","00337","綠地香港","绿地香港"
"317","00338","上海石油化工股份","上海石油化工股份"
"318","00340","中國礦業","中国矿业"
"319","00341","大家樂集團","大家乐集团"
"320","00342","新海能源","新海能源"
"321","00343","文化傳信","文化传信"
"322","00345","VITASOY INT'L","VITASOY INT'L"
"323","00346","延長石油國際","延长石油国际"
"324","00347","鞍鋼股份","鞍钢股份"
"325","00348","海爾智能健康","海尔智能健康"
"326","00351","亞洲能源物流","亚洲能源物流"
"327","00352","富陽","富阳"
"328","00353","能源國際投資","能源国际投资"
"329","00354","中國軟件國際","中国软件国际"
"330","00355","世紀城市國際","世纪城市国际"
"331","00357","航基股份","航基股份"
"332","00358","江西銅業股份","江西铜业股份"
"333","00359","海升果汁","海升果汁"
"334","00360","新焦點","新焦点"
"335","00361","順龍控股","顺龙控股"
"336","00362","中國天化工","中国天化工"
"337","00363","上海實業控股","上海实业控股"
"338","00364","坪山茶業","坪山茶业"
"339","00365","紫光控股","紫光控股"
"340","00366","陸氏集團（越南）","陆氏集团（越南）"
"341","00367","莊士機構國際","庄士机构国际"
"342","00368","中外運航運","中外运航运"
"343","00369","永泰地產","永泰地产"
"344","00370","國華","国华"
"345","00371","北控水務集團","北控水务集团"
"346","00372","德祥企業","德祥企业"
"347","00373","聯合集團","联合集团"
"348","00374","四洲集團","四洲集团"
"349","00375","YGM TRADING","YGM TRADING"
"350","00376","雲鋒金融","云锋金融"
"351","00377","華君控股","华君控股"
"352","00378","五龍動力","五龙动力"
"353","00379","恒嘉融資租賃","恒嘉融资租赁"
"354","00380","冠力國際","冠力国际"
"355","00381","僑雄國際","侨雄国际"
"356","00382","威靈控股","威灵控股"
"357","00383","中國醫療網絡","中国医疗网络"
"358","00384","中國燃氣","中国燃气"
"359","00385","建聯集團","建联集团"
"360","00386","中國石油化工股份","中国石油化工股份"
"361","00387","力豐（集團）","力丰（集团）"
"362","00388","香港交易所","香港交易所"
"363","00389","通天酒業","通天酒业"
"364","00390","中國中鐵","中国中铁"
"365","00391","美亞娛樂資訊","美亚娱乐资讯"
"366","00392","北京控股","北京控股"
"367","00393","旭日企業","旭日企业"
"368","00395","中國智能集團","中国智能集团"
"369","00396","興利（香港）控股","兴利（香港）控股"
"370","00397","君陽金融","君阳金融"
"371","00398","東方表行集團","东方表行集团"
"372","00399","領航醫藥生物科技","领航医药生物科技"
"373","00400","科通芯城","科通芯城"
"374","00401","萬嘉集團","万嘉集团"
"375","00402","天下圖控股","天下图控股"
"376","00403","星光集團","星光集团"
"377","00404","新昌集團控股","新昌集团控股"
"378","00406","有利集團","有利集团"
"379","00408","葉氏化工集團","叶氏化工集团"
"380","00410","ＳＯＨＯ中國","ＳＯＨＯ中国"
"381","00411","南順（香港）","南顺（香港）"
"382","00412","中國新金融","中国新金融"
"383","00413","南華集團控股","南华集团控股"
"384","00416","錦州銀行","锦州银行"
"385","00417","謝瑞麟","谢瑞麟"
"386","00418","方正控股","方正控股"
"387","00419","華誼騰訊娛樂","华谊腾讯娱乐"
"388","00420","福田實業","福田实业"
"389","00422","越南製造加工出口","越南制造加工出口"
"390","00423","經濟日報集團","经济日报集团"
"391","00425","敏實集團","敏实集团"
"392","00426","萬華媒體","万华媒体"
"393","00430","東方網庫","东方网库"
"394","00431","大中華金融","大中华金融"
"395","00432","盈大地產","盈大地产"
"396","00433","北方礦業","北方矿业"
"397","00434","博雅互動","博雅互动"
"398","00436","新宇環保","新宇环保"
"399","00438","彩虹新能源","彩虹新能源"
"400","00439","光啟科學","光启科学"
"401","00440","大新金融","大新金融"
"402","00442","KTL INT'L","KTL INT'L"
"403","00444","SINCEREWATCH HK","SINCEREWATCH HK"
"404","00445","中國消防","中国消防"
"405","00449","志高控股","志高控股"
"406","00450","鴻興印刷集團","鸿兴印刷集团"
"407","00451","協鑫新能源","协鑫新能源"
"408","00455","天大藥業","天大药业"
"409","00456","新城市建設發展","新城市建设发展"
"410","00458","聯亞集團","联亚集团"
"411","00459","美聯工商舖","美联工商铺"
"412","00460","四環醫藥","四环医药"
"413","00462","天然乳品","天然乳品"
"414","00464","建福集團","建福集团"
"415","00465","富通科技","富通科技"
"416","00467","聯合能源集團","联合能源集团"
"417","00468","紛美包裝","纷美包装"
"418","00469","凱普松國際","凯普松国际"
"419","00471","中播控股","中播控股"
"420","00472","新絲路文旅","新丝路文旅"
"421","00474","昊天發展集團","昊天发展集团"
"422","00475","中發展控股","中发展控股"
"423","00476","中國動力控股","中国动力控股"
"424","00479","華建控股","华建控股"
"425","00480","香港興業國際","香港兴业国际"
"426","00482","聖馬丁國際","圣马丁国际"
"427","00483","包浩斯國際","包浩斯国际"
"428","00484","雲遊控股","云游控股"
"429","00485","中國華星","中国华星"
"430","00486","RUSAL","RUSAL"
"431","00487","實德環球","实德环球"
"432","00488","麗新發展","丽新发展"
"433","00489","東風集團股份","东风集团股份"
"434","00491","漢傳媒","汉传媒"
"435","00493","國美電器","国美电器"
"436","00494","利豐","利丰"
"437","00495","PALADIN","PALADIN"
"438","00496","卡森國際","卡森国际"
"439","00497","資本策略地產","资本策略地产"
"440","00498","保華集團","保华集团"
"441","00499","青島控股","青岛控股"
"442","00500","先豐服務集團","先丰服务集团"
"443","00503","朗生醫藥","朗生医药"
"444","00505","歡悅互娛","欢悦互娱"
"445","00506","中國食品","中国食品"
"446","00508","鼎億集團投資","鼎亿集团投资"
"447","00509","世紀陽光","世纪阳光"
"448","00510","時富金融服務集團","时富金融服务集团"
"449","00511","電視廣播","电视广播"
"450","00512","遠大醫藥","远大医药"
"451","00513","恆和集團","恒和集团"
"452","00515","達進東方照明","达进东方照明"
"453","00517","中遠海運國際","中远海运国际"
"454","00518","同得仕（集團）","同得仕（集团）"
"455","00519","實力建業","实力建业"
"456","00520","呷哺呷哺","呷哺呷哺"
"457","00521","海航實業股份","海航实业股份"
"458","00522","ASM PACIFIC","ASM PACIFIC"
"459","00524","E-KONG GROUP","E-KONG GROUP"
"460","00525","廣深鐵路股份","广深铁路股份"
"461","00526","利時集團控股","利时集团控股"
"462","00527","瑞風新能源","瑞风新能源"
"463","00528","金達控股","金达控股"
"464","00529","SIS INT'L","SIS INT'L"
"465","00530","高銀金融","高银金融"
"466","00531","順誠","顺诚"
"467","00532","WKK INTL (HOLD)","WKK INTL (HOLD)"
"468","00533","金利來集團","金利来集团"
"469","00535","金地商置","金地商置"
"470","00536","貿易通","贸易通"
"471","00538","味千（中國）","味千（中国）"
"472","00539","冠華國際控股","冠华国际控股"
"473","00540","迅捷環球控股","迅捷环球控股"
"474","00542","新嶺域集團","新岭域集团"
"475","00543","太平洋網絡","太平洋网络"
"476","00544","大同集團","大同集团"
"477","00546","阜豐集團","阜丰集团"
"478","00547","數字王國","数字王国"
"479","00548","深圳高速公路股份","深圳高速公路股份"
"480","00549","奇峰化纖","奇峰化纤"
"481","00550","先傳媒","先传媒"
"482","00551","裕元集團","裕元集团"
"483","00552","中國通信服務","中国通信服务"
"484","00553","南京熊貓電子股份","南京熊猫电子股份"
"485","00554","漢思能源","汉思能源"
"486","00555","御泰中彩控股","御泰中彩控股"
"487","00556","泛亞環保","泛亚环保"
"488","00557","CITY E-SOLUTION","CITY E-SOLUTION"
"489","00558","力勁科技","力劲科技"
"490","00559","德泰新能源集團","德泰新能源集团"
"491","00560","珠江船務","珠江船务"
"492","00563","上實城市開發","上实城市开发"
"493","00564","鄭煤機","郑煤机"
"494","00565","錦藝集團控股","锦艺集团控股"
"495","00566","漢能薄膜發電","汉能薄膜发电"
"496","00567","大昌微綫集團","大昌微线集团"
"497","00568","山東墨龍","山东墨龙"
"498","00569","中國自動化","中国自动化"
"499","00570","中國中藥","中国中药"
"500","00571","豐德麗控股","丰德丽控股"
"501","00572","未來世界金融","未来世界金融"
"502","00573","稻香控股","稻香控股"
"503","00574","百信藥業","百信药业"
"504","00575","勵晶太平洋","励晶太平洋"
"505","00576","浙江滬杭甬","浙江沪杭甬"
"506","00577","十三集團","十三集团"
"507","00578","融信資源","融信资源"
"508","00579","京能清潔能源","京能清洁能源"
"509","00580","賽晶電力電子","赛晶电力电子"
"510","00581","中國東方集團","中国东方集团"
"511","00582","藍鼎國際","蓝鼎国际"
"512","00583","南潮控股","南潮控股"
"513","00585","意馬國際","意马国际"
